"id","application","benchmark","file","line","function","version"
"851a90a6-10d0-4e1f-9838-0f3cce93ad06","default","Fhourstones","c4.c","131","ab","default"
"8f1f8a51-d749-4df7-841f-5e677cb496e0","Transpose","Kernels","transpose.c","176","main","SERIAL"
"e90955a5-6c8c-409d-af83-2c5778d5419e","256.bzip2","spec2000","bzip2.c","2616","undoReversibleTransformation_fast","v1.3"
"899897aa-70d3-40f0-9784-9dcbfc104736","183.equake","spec2000","quake.c","461","main","v1.3"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","op.c","234","Perl_allocmy","v1.1"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","regcomp.c","4017","S_regclass","v1.1"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","doio.c","530","Perl_do_openn","v1.1"
"23155c0c-6959-43e3-957b-9e85593448bd","h264dec-lencod","mediabench","mv-search.c","259","SetupLargerBlocks","default"
"8437441e-5a5d-4f08-b03a-e308d57885a7","lame","libraries","takehiro.c","669","noquant_count_bits","default"
"fe7035dc-c130-487e-891d-ea770ea09355","Ray_trace","ALPBench","imageio.c","167","image_rgb24_from_rgb96f","v1.0"
"45f798f8-0155-4c1a-a729-392483621301","445.gobmk","spec2006","influence.c","277","accumulate_influence","v1.1"
"f58183b8-3f35-419d-807e-83e8661d3dd3","gap","GitApps","vec8bit.c","1751","FuncADD_ROWVECTOR_VEC8BITS_3","default"
"f22d52b9-f79e-4747-b37c-4eed87681ccc","libdeep","libraries","lodepng.c","5059","filterScanline","default"
"2c6f1989-b804-4de3-a27f-5d3a22ef7df4","libpng","libraries","pngwtran.c","124","png_do_pack","default"
"a4ce0222-e283-4fd2-af03-0e12f2223980","csuFaceIdEval_5.1","ALPBench","csuCommonMatrix.c","435","matrixCols","v1.0"
"38e86c6a-9233-47b1-adb2-4eba948b06af","458.sjeng","spec2006","attacks.c","177","is_attacked","v1.1"
"81ab6c67-c756-4778-a5be-b95e3680cd22","svd3","cortexsuite","svd.c","293","svd","default"
"061a23ae-0741-4f06-b402-032735e96352","301.apsi","spec2000","apsi.c","9269","radbg","v1.3"
"301d9585-272e-4ae4-b0df-f34f93841fae","silk","libraries","SKP_Silk_CNG.c","99","SKP_Silk_CNG","default"
"2ff98fa2-83b6-4295-a0da-b7824cb706bb","mpeg4dec","mediabench","h263.c","561","ff_mpeg4_init_direct_mv","default"
"74df51a8-f031-493e-8814-af9fb2bb2cf7","daala","libraries","pvq.c","293","od_adapt_pvq_ctx_reset","default"
"32b40809-38d8-4172-a3f8-597ccfa4ffff","stencils-adi","polybench","adi.c","31","init_array","4.1"
"30d681f7-f3ac-4484-8cb1-d0a88edb4d0c","h264enc-lencod","mediabench","rdopt.c","1625","SetCoeffAndReconstruction8x8","default"
"566c5a00-db82-452c-8493-b0608aa83a58","LU","NPB","lu.c","2037","pintgr","2.3-OpenACC-C"
"02f8f105-b887-414c-aeaf-335111c3e600","h264enc-ldecod","mediabench","image.c","390","find_snr","default"
"689c1710-8156-4e21-8d3c-1e3a542e629c","sphinx","cortexsuite","feat.c","345","feat_subvec_project","default"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","setup.c","240","geom1","2.3-OpenACC-C"
"19f5583c-6036-4029-b06b-e97ce29d7bc4","rasta","mediabench","lpccep.c","334","band_to_auto","default"
"2c6f1989-b804-4de3-a27f-5d3a22ef7df4","libpng","libraries","png.c","4053","png_build_8bit_table","default"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","transfer.c","546","transfb_cor_f","2.3-OpenACC-C"
"c3f1334a-f0c9-44bc-a75e-4c9b5ebad27b","livermore","livermore","lloops.c","1070","kernels","default"
"45f798f8-0155-4c1a-a729-392483621301","445.gobmk","spec2006","fuseki.c","72","openregion","v1.1"
"1e5201b1-b9b4-442e-960e-94b11bbc01bc","mpeg4enc","mediabench","imgconvert.c","1166","shrink21","default"
"19f5583c-6036-4029-b06b-e97ce29d7bc4","rasta","mediabench","noise_est.c","530","create_filt","default"
"bd7671d0-b645-4493-8b8d-f8dbe71b46f2","default","opencv_kernels","thresh.c","394","getThreshVal_Triangle_uchar","default"
"7cf1d9da-8101-42bf-be41-27a23ef8d4e4","171.swim","spec2000","swim.c","655","calc3","v1.3"
"d9dd69b1-3130-4dde-8fd3-0aace6f5d093","254.gap","spec2000","vecffe.c","1912","ProdFFEVecFFE","v1.3"
"d9dd69b1-3130-4dde-8fd3-0aace6f5d093","254.gap","spec2000","scanner.c","1243","Pr","v1.3"
"2c6f1989-b804-4de3-a27f-5d3a22ef7df4","libpng","libraries","pngrtran.c","4156","png_do_encode_alpha","default"
"9b4fb134-4141-4799-8ffd-2bb4ec979288","mpeg2dec","mediabench","recon.c","381","form_component_prediction","default"
"30d681f7-f3ac-4484-8cb1-d0a88edb4d0c","h264enc-lencod","mediabench","refbuf.c","59","UMVLine16Y_11","default"
"23155c0c-6959-43e3-957b-9e85593448bd","h264dec-lencod","mediabench","mv-search.c","281","SetupLargerBlocks","default"
"1e5201b1-b9b4-442e-960e-94b11bbc01bc","mpeg4enc","mediabench","mpegaudio.c","530","compute_bit_allocation","default"
"c3f1334a-f0c9-44bc-a75e-4c9b5ebad27b","livermore","livermore","lloops.c","2061","init","default"
"aeac982e-58a5-4135-866e-0ad1de6e761d","401.bzip2","spec2006","decompress.c","71","makeMaps_d","v1.1"
"b5e05266-9ade-4e72-8848-b787bf7c047e","neural","FreeBench","neural.c","419","run","default"
"d9dd69b1-3130-4dde-8fd3-0aace6f5d093","254.gap","spec2000","permutat.c","1558","PowPP","v1.3"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","precond.c","52","setuppc","2.3-OpenACC-C"
"54654ab6-2bc0-4aaa-93b9-19f024a64a01","flac","libraries","lpc.c","857","FLAC_lpc_restore_signal","default"
"061a23ae-0741-4f06-b402-032735e96352","301.apsi","spec2000","apsi.c","3513","dctdx","v1.3"
"301d9585-272e-4ae4-b0df-f34f93841fae","silk","libraries","SKP_Silk_residual_energy16_FIX.c","71","SKP_Silk_residual_energy16_covar_FIX","default"
"9e7a6c2f-6520-4cae-a913-f01fa1b0f93e","gsm","mediabench","short_term.c","138","Coefficients_40_159","default"
"8fe11be2-f2d0-45c8-b720-de3cde6b169d","cnn","cortexsuite","MNistDoc.c","812","BackpropagationThread","default"
"2b575b90-58f1-46a3-a7c6-5fe19f136533","darknet","machinelearning","blas.c","213","softmax","default"
"aeac982e-58a5-4135-866e-0ad1de6e761d","401.bzip2","spec2006","blocksort.c","884","mainSort","v1.1"
"d9dd69b1-3130-4dde-8fd3-0aace6f5d093","254.gap","spec2000","finfield.c","1232","LtFFE","v1.3"
"566c5a00-db82-452c-8493-b0608aa83a58","LU","NPB","lu.c","428","buts","2.3-OpenACC-C"
"e90955a5-6c8c-409d-af83-2c5778d5419e","256.bzip2","spec2000","bzip2.c","1069","hbCreateDecodeTables","v1.3"
"23155c0c-6959-43e3-957b-9e85593448bd","h264dec-lencod","mediabench","rdopt.c","3059","StoreNewMotionVectorsBlock8x8","default"
"26a39633-5b80-4207-a8ce-f1057a313a5b","SP","NPB","sp.c","1653","compute_rhs","2.3-OpenACC-C"
"673e5d6c-68c6-48e5-8c7f-3ca2da9cc9d7","srr","cortexsuite","SystemMatrices.c","307","CalculateA","default"
"e60df686-69f5-4976-b8e7-2513619f1259","liblinear","cortexsuite","linear.c","275","l2r_l2_svc_fun_Hv","default"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","3575","s315","default"
