alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=150000,2868,33,88,0,0,88,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2868,0,0,0,0,-33,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,4.672000,3300
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=200000,6546,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6546,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.295000,3400
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=250000,8049,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8049,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.708000,3504
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=300000,9640,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9640,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.110000,3596
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=350000,5067,73,851,0,0,851,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5067,0,0,0,0,-73,0,0,0,-851,0,0,0,0,0,0,0,0,0,0,0,0,10.599000,3696
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=400000,11001,53,3125,0,0,3125,0,0,0,0,0,0,0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11001,0,0,0,0,-53,0,0,0,-3125,0,0,0,0,0,0,0,0,0,0,0,0,12.137000,3788
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=450000,3319,33,3460,0,0,3460,0,0,0,0,0,0,0,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3319,0,0,0,0,-33,0,0,0,-3460,0,0,0,0,0,0,0,0,0,0,0,0,17.252000,3888
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=500000,4703,38,6852,0,0,6852,0,0,0,0,0,0,0,6852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4703,0,0,0,0,-38,0,0,0,-6852,0,0,0,0,0,0,0,0,0,0,0,0,15.127000,3988
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_3789,,256,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-256,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256000,3012
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=50000,2705,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2705,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.642000,3152
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=100000,5057,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5057,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.068000,3300
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=150000,7368,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7368,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.502000,3448
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=200000,9790,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9790,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.548000,3592
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=250000,11993,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11993,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.578000,3744
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=300000,14352,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14352,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.712000,3888
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=350000,14247,32,4478,0,0,4478,0,0,0,0,0,0,0,4478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14247,0,0,0,0,-32,0,0,0,-4478,0,0,0,0,0,0,0,0,0,0,0,0,13.755000,4036
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=400000,18168,36,4897,0,0,4897,0,0,0,0,0,0,0,4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18168,0,0,0,0,-36,0,0,0,-4897,0,0,0,0,0,0,0,0,0,0,0,0,11.660000,4180
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=450000,15134,75,16244,0,0,16244,0,0,0,0,0,0,0,16244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15134,0,0,0,0,-75,0,0,0,-16244,0,0,0,0,0,0,0,0,0,0,0,0,13.700000,4324
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_179,-D PARAM_END=500000,11130,34,14747,0,0,14747,0,0,0,0,0,0,0,14747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11130,0,0,0,0,-34,0,0,0,-14747,0,0,0,0,0,0,0,0,0,0,0,0,14.553000,4476
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=100000,1859,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1859,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.792000,3104
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=200000,3421,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3421,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325000,3200
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=300000,4973,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4973,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.472000,3300
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=400000,6551,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6551,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.421000,3404
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=500000,8104,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8104,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.032000,3496
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=600000,9675,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9675,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523000,3592
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=700000,11254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11254,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.546000,3692
