alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
gemver,4,70385,20,451606,0,3529107,451606,28,0,0,11755,362,0,0,451606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70385,0,0,0,0,-20,0,0,0,-451606,0,0,0,0,0,0,0,0,0,0,0,0,50.245000
gemver,5,89239,19,754446,11,4650442,754457,44,0,0,2977930,11,2824399,53,749085,5372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89239,0,2824452,2824399,53,-19,-11,0,0,-754457,0,0,2824399,53,0,0,0,0,0,0,0,0,68.668000
gemver,6,76677,20,979425,22,3227519,979447,51,0,0,4184711,14,9199537,0,976658,2789,14,10209164,10079839,39704,0,10209164,0,0,0,0,0,0,0,0,0,-76677,0,9199537,9199537,0,-20,-22,0,0,-979447,0,0,9199537,0,0,0,0,0,0,0,0,0,89.259000
gemver,7,141248,23,1226225,27,2927337,1226252,64,0,0,5332128,18,12360523,0,1222050,4202,37,6796710,10527800,7763,7772,6788785,414976001,414251383,0,0,0,0,0,0,0,-141248,0,12360523,12360523,0,-23,-27,0,0,-1226252,0,0,12360523,0,0,0,0,0,0,0,0,0,112.145000
gemver,8,56431,19,1508056,34,4105615,1508090,135,0,0,6704698,33,15948765,11,1504760,3330,22,6491746,6496169,3523,3543,6486958,436451241,465208876,63112357,252216275,31260274,15307057,0,0,0,-56431,0,15948776,15948765,11,-19,-34,0,0,-1508090,0,0,15948765,11,0,0,63112357,63112357,63112357,0,0,0,137.689000
gemver,9,112000,19,1648700,12,4910627,1648712,63,0,0,4059701,50,20645807,0,1645512,3200,25,8736764,8686954,4309,4347,8732432,313166728,399198974,60093991,280435320,35091476,17505866,0,177772729,0,-112000,0,20645807,20645807,0,-19,-12,0,0,-1648712,0,0,20645807,0,0,0,60093991,60093991,60093991,0,0,0,157.448000
adi,0,10857543,2191,8044,0,10524519,8044,2444,381,0,71717,199,19000070,1675113,-4929854,4937898,82,15888100,15854912,79595,79824,15808326,1648227207,1624287664,134325739,487381019,39574544,15959329,0,446894784,879887333,559584678,570442221,20675183,19000070,1675113,874923906,3145,874926097,3145,19727863,1445368318,19735907,19003215,1675113,55274063,15964161,134325739,134325739,134325739,0,0,879258006,266.145000
adi,1,50928583,3887,134944,63,52020422,135007,5313,1621,0,15424241,380,77379163,4381915,-21310323,21445330,190,47065772,47695961,167177,174482,46892678,4372769252,4333860800,403749918,1457078934,118649636,48316601,0,1385323034,2523100354,1674599506,1725528089,81761078,77379163,4381915,2513437260,5358,2513441147,5421,87015298,4238969236,87150305,77384584,4381915,167602958,46978683,403749918,403749918,403749918,0,0,2521224244,762.104000
adi,2,109204243,5267,2219244,124,110574327,2219368,7212,82305,0,40172136,851,196484578,9044229,-40638852,42858220,443,106442674,106313245,282774,283625,106159421,7225391669,7138592836,1541672570,3283850105,265660978,106852264,0,3626194300,5644769543,3674238299,3783442542,205528807,196484578,9044229,5619701371,9532,5619706638,9656,204032333,9403149180,206251701,196494234,9044229,1012554175,105789999,1541672570,1541672570,1541672570,0,0,5640929909,1704.900000
adi,3,210335176,8342,24226020,3030,205197749,24229050,10075,800345,0,91339367,1563,372403786,15490407,-57391679,81620729,861,201750608,201281512,433256,435675,201315078,13695280965,13527808537,2909016812,6196826437,502335250,202410620,0,7103554245,10906766163,6971911799,7182246975,387894193,372403786,15490407,10873596245,13395,10873604587,16425,365723343,18055851562,389952393,372420211,15490407,1918335281,201009787,2909016812,2909016812,2909016812,0,0,10904084435,3301.097000
